Time [s],Longitude [rad],Latitude [rad],Altitude [m],V North [m/s],V East [m/s],V Down [m/s],Roll [rad],Pitch [rad],Yaw [rad],DVL X [m/s],DVL Y [m/s],DVL Z [m/s],ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s]
253.63,0.608966981277099,0.5733696961483699,-24.914373,1.032611,2.504583,0.024744,-0.0136659280431155,-0.014468779499033,1.2948423711219508,2.696658551349393,-0.3085138564148614,-0.0049871274518965,-0.0013549999999999,0.001019,-0.097456,5.4e-05,2.2e-05,-1.6999999999999996e-05
254.64,0.6089674533886618,0.5733698595111878,-24.943693,1.036108,2.497488,0.028245,-0.0116413461108021,-0.0133692220702765,1.2931842908792637,2.70157423737995,-0.301948269465427,-0.0039864452553909,-0.0008279999999999,0.001371,-0.098014,1.7e-05,4.5e-05,7.000000000000003e-06
255.64,0.6089679241039611,0.5733700246193351,-24.972675,1.040921,2.489062,0.025239,-0.0108734012399246,-0.0100880030765271,1.2923464630251362,2.6909340359899248,-0.323007619790282,-0.0080246274299256,-0.0003819999999999,0.000685,-0.098082,5.7e-05,3.3e-05,1.3000000000000004e-05
256.64,0.6089683911540688,0.5733701888548176,-24.994558,1.040902,2.48362,0.014542,-0.0049916416607037,-0.00614355896702,1.2934460728137702,2.6928328557016448,-0.3121448402041965,-0.0172227968872965,-0.0004129999999999,0.000677,-0.098133,-4.7e-05,-4.000000000000001e-06,1.0999999999999996e-05
257.64,0.6089688554116499,0.5733703539629649,-25.005499,1.040091,2.481816,0.003276,-0.0071209433481368,-0.0047822021504644,1.2946153386928514,2.6847883452509533,-0.3129543106401171,-0.0253592810310834,-0.0008669999999999,3.900000000000602e-05,-0.098289,5.4e-05,-1.8e-05,2.0000000000000005e-05
258.65,0.6089693215890931,0.5733705176748487,-25.00877,1.037649,2.483183,-0.000862,-0.0079412480965741,-0.0053058009260626,1.2956451876712831,2.6918473055302035,-0.3070834317822421,-0.0264075129768521,-0.0004479999999999,0.000655,-0.097798,1.3e-05,1.9999999999999995e-06,4.000000000000001e-06
259.65,0.6089697874174704,0.5733706824339301,-25.007717,1.034533,2.48739,-0.003467,-0.0026005405854715,-0.0057246799465413,1.2969368185842214,2.690279284966767,-0.3013216372935982,-0.0284441694975431,-0.0004899999999999,0.001052,-0.097568,-8.5e-05,2.9999999999999992e-06,1.0999999999999996e-05
260.65,0.6089702555147759,0.5733708454476822,-25.003716,1.032127,2.492071,-0.005175,-0.0063180918922194,-0.0054803338512621,1.297495271584982,2.694782979267851,-0.3157048579393523,-0.0274362654852756,-0.0007509999999999,0.000833,-0.097765,2e-05,-1.000000000000001e-06,1.6e-05
261.65,0.6089707232630153,0.573371007065171,-24.999729,1.028079,2.495497,-0.003993,-0.0098785635662879,-0.0054803338512621,1.2990311264201522,2.689655585550625,-0.3107020763985694,-0.014148176099523,-0.0004949999999999,0.000122,-0.09794,9.9e-05,-1.1e-05,1.5000000000000007e-05
262.66,0.6089711920584525,0.5733711678099951,-25.000151,1.023254,2.49485,0.002868,-0.0059690260418206,-0.0057595865315811,1.3008461990290558,2.6974766461805664,-0.3041008317779456,-0.0060134156186324,-0.0006349999999999,5.000000000000599e-05,-0.097796,-7.7e-05,9.999999999999995e-07,3.999999999999995e-06
263.66,0.608971659806692,0.5733713273330886,-25.007414,1.021033,2.490398,0.009275,-0.0032463124087094,-0.0059690260418205,1.301649137751436,2.5357312085989494,-0.7809868523721973,0.0028919863548991,-0.0025999999999999,-0.0038199999999999,-0.097941,-0.00071,-7.600000000000004e-05,0.000721
264.66,0.6089721306965241,0.5733714858089848,-25.01799,1.031388,2.454403,0.006441,-0.0181688775132609,-0.0058293997016609,1.3086828146369731,2.341927237137894,-0.982486906753694,0.0526711517172896,0.00239,0.009894,-0.100081,0.0012539999999999,0.0003379999999999,0.002144
265.66,0.6089725750573517,0.5733716350346358,-25.032312,0.807814,2.321492,-0.000669,-0.0571246264177744,0.0193207948195772,1.4748555429061834,2.188836925742772,-0.9900945090466996,0.0144636062413511,0.002275,-0.0091609999999999,-0.096686,-0.000216,-3.9000000000000114e-05,0.001874
266.67,0.608973010691533,0.5733717306786787,-24.989582,0.423656,2.293995,-0.066419,0.1243023493270361,0.0220609617452083,1.6711178696528233,2.0359368755023315,-1.0135642372754818,-0.0176153222217051,0.001664,0.008132,-0.09763,-0.000426,3.3999999999999885e-05,0.001901
267.67,0.6089733978055611,0.5733718107892914,-24.936752,0.056153,2.179432,-0.039579,-0.0372627795300789,0.0125140107367993,1.8601196092578745,1.9113040309584155,-0.9587437185033152,0.0287714681333368,0.002057,-0.0013859999999999,-0.097572,0.0009669999999999,3.399999999999989e-05,0.00175
268.67,0.6089737742730807,0.5733717997937172,-24.890293,-0.295677,2.02965,-0.053437,0.0524122374373897,0.0192858882345374,2.043937651171332,1.8283276969712232,-0.912094930635675,-0.0015492661507435,0.000466,-4.69999999999941e-05,-0.096237,-0.000858,9.9999999999999e-06,0.001656
269.67,0.6089741254333263,0.573371727711619,-24.844336,-0.606162,1.854445,-0.036501,0.0546288055874225,0.0058643062867009,2.2144389530651205,1.7650575174005307,-0.8616009644834727,0.0313370525899215,0.000924,0.000743,-0.098072,0.0006679999999999,5.499999999999991e-05,0.001558
270.68,0.608974443432316,0.5733716132180202,-24.82402,-0.868333,1.648323,-0.013347,0.0279776279094691,0.0029670597283903,2.375602551474522,1.7092023782071886,-0.7771030917571943,0.032545965914364,0.000675,-0.0031179999999999,-0.098624,-0.000233,7.99999999999991e-06,0.00146
271.68,0.6089747212887329,0.573371457185585,-24.817553,-1.089684,1.422763,-0.002952,0.0598647933434055,-0.0012566370614357,2.5272716983794137,1.6793213458913974,-0.6937295660017837,0.0326361648862276,0.00071,-0.0013869999999999,-0.098698,-0.000185,4.299999999999992e-05,0.00136
272.68,0.6089749583044454,0.5733712718316184,-24.825638,-1.271321,1.181107,0.011362,0.0404392787687086,-0.0038048177693474,2.669079438304565,1.6738867755310365,-0.6042941079379437,0.0254874260527404,0.000793,-0.0007489999999999,-0.099044,-3.4000000000000074e-05,4.299999999999993e-05,0.001243
