ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s],DVL X [m/s],DVL Y [m/s],DVL Z [m/s]
-8.60E-05,-0.001793,-0.09789,-3.70E-05,-1.20E-05,0.000157,1.503039816,0.176873032,0.004493624
-0.000183,-0.001354,-0.097849,-8.00E-06,3.00E-06,0.00016,1.508316471,0.160326193,0.006521204
-7.00E-05,-0.001273,-0.098025,-1.10E-05,1.80E-05,0.000167,1.504005691,0.155939556,-0.000610394
1.50E-05,-0.001316,-0.098051,2.30E-05,1.30E-05,0.000169,1.50055738,0.139284401,-0.009784942
0.000127,-0.001504,-0.097982,8.00E-06,-1.00E-06,0.00017,1.501311295,0.134236094,-0.014893458
3.20E-05,-0.001614,-0.097844,1.00E-06,-9.00E-06,0.000174,1.499194119,0.12915484,-0.016926109
-0.000138,-0.001611,-0.097919,-3.20E-05,-9.00E-06,0.000178,1.505629654,0.134286813,-0.015930774
-0.000251,-0.001506,-0.09794,2.40E-05,-1.20E-05,0.000179,1.504368078,0.119827309,-0.01285808
-0.00039,-0.001531,-0.097946,9.00E-06,-9.00E-06,0.000176,1.503008095,0.112588827,-0.009786968
-0.000492,-0.001655,-0.097921,-4.00E-06,-3.00E-06,0.000172,1.50080562,0.113283567,-0.013863874
-0.000531,-0.001682,-0.097933,6.00E-06,-1.00E-06,0.00017,1.500081831,0.111106074,-0.016924576
-0.000643,-0.001776,-0.097962,1.00E-05,-1.00E-05,0.000171,1.505183845,0.109001526,-0.011837222
-0.000689,-0.001937,-0.097763,-2.00E-05,-7.00E-06,0.000167,1.508236569,0.097484456,-0.00265356
-0.000745,-0.001393,-0.097915,-2.30E-05,1.30E-05,0.000163,1.512745679,0.083094706,-0.002666682
-0.000531,-0.001304,-0.098123,-6.00E-06,3.00E-05,0.000177,1.504813099,0.076495942,-0.018976081
-0.000481,-0.001366,-0.09814,6.40E-05,8.00E-06,0.00018,1.499692204,0.078598883,-0.030191407
-0.000489,-0.001857,-0.097899,1.60E-05,-2.20E-05,0.00017,1.49533691,0.081436887,-0.020983674
-0.000765,-0.001921,-0.097859,2.00E-06,-2.70E-05,0.000151,1.507034634,0.074358302,-0.004685783
-0.000819,-0.001693,-0.097752,-8.70E-05,1.00E-05,0.000151,1.515185811,0.053511467,-0.006752916
-0.000704,-0.000961,-0.098096,-6.00E-06,2.10E-05,0.000164,1.510101396,0.054171734,-0.010818938
-0.000667,-0.001383,-0.09804,5.70E-05,1.10E-05,0.00017,1.505691511,0.057005402,-0.017952115
-0.000574,-0.0017,-0.097956,6.00E-06,-8.00E-06,0.000157,1.506520696,0.047626853,-0.015909693
-0.000665,-0.00153,-0.097942,-7.20E-05,-1.10E-05,0.000156,1.507451011,0.029584945,-0.0128443
-0.000773,-0.001268,-0.098025,-7.00E-06,-9.98E-21,0.000163,1.510401148,0.02239807,-0.018981532
-0.000749,-0.001283,-0.098026,5.00E-06,4.00E-06,0.000175,1.513142844,0.033983943,-0.021037026
-0.000889,-0.001432,-0.097968,3.60E-05,-5.00E-06,0.000162,1.510966765,0.033235444,-0.023070627
-0.000954,-0.001678,-0.097772,-7.00E-06,-1.30E-05,0.000152,1.50743019,0.029584466,-0.013865229
-0.001117,-0.001529,-0.097795,-8.82E-21,-8.00E-06,0.000144,1.511972871,0.015198125,-0.003667405
-0.001084,-0.001415,-0.097917,-2.70E-05,1.20E-05,0.000147,1.507876634,-0.0065151,-0.005688089
-0.000949,-0.001158,-0.098108,3.00E-05,1.80E-05,0.000163,1.510687023,-0.006485164,-0.022037819
-0.000818,-0.001386,-0.098086,1.40E-05,8.00E-06,0.000163,1.501202499,-0.000100287,-0.027108794
-0.000817,-0.001316,-0.09792,1.90E-05,-7.00E-06,0.000155,1.502013041,-0.008033382,-0.027109706
-0.00102,-0.001371,-0.097848,-3.40E-05,-2.00E-05,0.000149,1.511501998,-0.012972811,-0.015912095
-0.001267,-0.001359,-0.097843,1.20E-05,-1.10E-05,0.000148,1.506532024,-0.019530578,-0.013848553
-0.001186,-0.001395,-0.097931,2.00E-06,1.00E-06,0.000155,1.508853364,-0.031778831,-0.012832991
-0.001184,-0.001297,-0.097946,2.90E-05,1.00E-05,0.000159,1.506813175,-0.045525344,-0.020990633
-0.001151,-0.001528,-0.097976,8.00E-06,8.00E-06,0.000164,1.50460993,-0.0433852,-0.022003905
-0.001158,-0.001556,-0.098023,7.00E-06,-3.00E-06,0.000163,1.508216891,-0.044064981,-0.026102361
-0.001252,-0.001447,-0.097914,-2.70E-05,-7.00E-06,0.000161,1.509011516,-0.049109546,-0.023040973
-0.001307,-0.001427,-0.097889,2.00E-06,-4.00E-06,0.000156,1.516375602,-0.057685828,-0.014896382
-0.001283,-0.001413,-0.097916,-1.00E-06,2.00E-06,0.000156,1.509288507,-0.064988627,-0.002614576
-0.001222,-0.001307,-0.097901,-1.20E-05,1.30E-05,0.00016,1.508167222,-0.090997868,0.000460713
-0.001111,-0.001203,-0.097939,-1.30E-05,2.10E-05,0.000169,1.515488085,-0.102468008,-0.011817896
-0.000977,-0.001183,-0.098112,3.10E-05,1.90E-05,0.00018,1.505326971,-0.104037944,-0.031181268
-0.000838,-0.001434,-0.098054,6.30E-05,1.00E-06,0.000184,1.509503343,-0.09243537,-0.035285196
