Time [s],ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s]
11:35:12.858,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.868,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.878,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.888,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.898,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.908,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.918,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.928,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.938,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.948,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.958,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.968,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.978,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.988,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.998,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.008,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.018,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.028,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.038,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:13.048,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
