Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,ACC X_1,ACC Y_1,ACC Z_1,GYRO X_1,GYRO Y_1,GYRO Z_1,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,V North,V East,V Down
329.82,-0.0008179999999999,-0.0019519999999999,-0.097951,4.799999999999999e-05,2.199999999999999e-05,0.000171,-0.0008739999999999,-0.0021089999999999,-0.097854,-3.300000000000001e-05,7.99999999999999e-06,0.000153,0.3830413396573652,-0.33948858387213504,-0.4091134712234725,0.31341645230602766,0.39187667121235864,-0.33239722652109355,-0.4044979274069554,0.3197759703264968,0.933217,-1.175291,0.008979
330.83,-0.0007679999999999,-0.0025389999999999,-0.097684,1.999999999999999e-05,-4.000000000000011e-06,0.000175,-0.0008179999999999,-0.0019519999999999,-0.097951,4.799999999999999e-05,2.199999999999999e-05,0.000171,0.38407913706050023,-0.3384256332506278,-0.4101531099414846,0.3123516603696434,0.3830413396573652,-0.33948858387213504,-0.4091134712234725,0.31341645230602766,0.944526,-1.166235,0.003882
331.83,-0.0006019999999999,-0.0019959999999999,-0.097804,-0.000109,1.699999999999999e-05,0.000159,-0.0007679999999999,-0.0025389999999999,-0.097684,1.999999999999999e-05,-4.000000000000011e-06,0.000175,0.4033547980311022,-0.31918463914567874,-0.3909147646112258,0.33162467256555517,0.38407913706050023,-0.3384256332506278,-0.4101531099414846,0.3123516603696434,0.96136,-1.14684,-0.000183
332.83,-0.0004369999999999,-0.0012849999999999,-0.098067,3.99999999999999e-06,4.899999999999999e-05,0.000172,-0.0006019999999999,-0.0019959999999999,-0.097804,-0.000109,1.699999999999999e-05,0.000159,0.4052279039719078,-0.3219456571694373,-0.38707160122165923,0.34010195991968584,0.4033547980311022,-0.31918463914567874,-0.3909147646112258,0.33162467256555517,0.981261,-1.133384,0.015238
333.83,-0.0001419999999999,-0.0019449999999999,-0.098193,0.0001119999999999,2.899999999999999e-05,0.000182,-0.0004369999999999,-0.0012849999999999,-0.098067,3.99999999999999e-06,4.899999999999999e-05,0.000172,0.3838515510132186,-0.33872335386499713,-0.4041426498670062,0.3184322550112096,0.4052279039719078,-0.3219456571694373,-0.38707160122165923,0.34010195991968584,0.997452,-1.128974,0.018676
334.84,8.500000000000601e-05,-0.0024959999999999,-0.09804,2.299999999999999e-05,-8.00000000000001e-06,0.000168,-0.0001419999999999,-0.0019449999999999,-0.098193,0.0001119999999999,2.899999999999999e-05,0.000182,0.3757798150978467,-0.34465258885905803,-0.41144637709083415,0.3089860268660705,0.3838515510132186,-0.33872335386499713,-0.4041426498670062,0.3184322550112096,1.015504,-1.112761,0.00112
335.84,-7.999999999999402e-05,-0.0022209999999999,-0.097808,-4.600000000000001e-05,-1.700000000000001e-05,0.000162,8.500000000000601e-05,-0.0024959999999999,-0.09804,2.299999999999999e-05,-8.00000000000001e-06,0.000168,0.378860489889173,-0.340201509314574,-0.4048765728672507,0.31418542633649627,0.3757798150978467,-0.34465258885905803,-0.41144637709083415,0.3089860268660705,1.033515,-1.084549,-0.011395
336.84,-0.0002569999999999,-0.0020309999999999,-0.097792,-2.600000000000001e-05,9.999999999999896e-07,0.00017,-7.999999999999402e-05,-0.0022209999999999,-0.097808,-4.600000000000001e-05,-1.700000000000001e-05,0.000162,0.38502308307859917,-0.3407786395021065,-0.3995772617672324,0.3262244608134733,0.378860489889173,-0.340201509314574,-0.4048765728672507,0.31418542633649627,1.045993,-1.064442,-0.007523
337.84,-0.0002859999999999,-0.0019299999999999,-0.097943,1.0999999999999988e-05,1.4999999999999989e-05,0.00018,-0.0002569999999999,-0.0020309999999999,-0.097792,-2.600000000000001e-05,9.999999999999896e-07,0.00017,0.38922376780761786,-0.3372796886942505,-0.39608646784810586,0.3304169886537625,0.38502308307859917,-0.3407786395021065,-0.3995772617672324,0.3262244608134733,1.059684,-1.056168,0.001059
338.85,-0.0002839999999999,-0.0019499999999999,-0.097849,-1.500000000000001e-05,1.699999999999999e-05,0.000175,-0.0002859999999999,-0.0019299999999999,-0.097943,1.0999999999999988e-05,1.4999999999999989e-05,0.00018,0.3938744972302064,-0.3291415857725662,-0.38720623897348644,0.33580984402928615,0.38922376780761786,-0.3372796886942505,-0.39608646784810586,0.3304169886537625,1.080567,-1.044692,0.003724
339.85,-0.0001039999999999,-0.0018459999999999,-0.098037,-1.100000000000001e-05,1.399999999999999e-05,0.000162,-0.0002839999999999,-0.0019499999999999,-0.097849,-1.500000000000001e-05,1.699999999999999e-05,0.000175,0.38766856409072253,-0.33536555313920124,-0.39062578191006847,0.3324083353198553,0.3938744972302064,-0.3291415857725662,-0.38720623897348644,0.33580984402928615,1.1017,-1.024627,0.005211
340.85,1.0000000000006005e-05,-0.0018859999999999,-0.098031,3.999999999999999e-05,5.999999999999989e-06,0.00018,-0.0001039999999999,-0.0018459999999999,-0.098037,-1.100000000000001e-05,1.399999999999999e-05,0.000162,0.37306017578739986,-0.3499920769450599,-0.40104494816220737,0.3220073045702524,0.38766856409072253,-0.33536555313920124,-0.39062578191006847,0.3324083353198553,1.114296,-1.006605,0.005492
341.85,-5.0999999999994e-05,-0.0022339999999999,-0.09796,1.699999999999999e-05,-1.1000000000000012e-05,0.000186,1.0000000000006005e-05,-0.0018859999999999,-0.098031,3.999999999999999e-05,5.999999999999989e-06,0.00018,0.3635686043866555,-0.35940782783440106,-0.41466389011947796,0.3083125421015786,0.37306017578739986,-0.3499920769450599,-0.40104494816220737,0.3220073045702524,1.120358,-0.994896,-0.003558
342.86,-0.0001949999999999,-0.0019869999999999,-0.09781,-4.500000000000001e-05,-1.800000000000001e-05,0.00016,-5.0999999999994e-05,-0.0022339999999999,-0.09796,1.699999999999999e-05,-1.1000000000000012e-05,0.000186,0.3730102788269301,-0.35064491028605876,-0.4087130410855053,0.3149421480274836,0.3635686043866555,-0.35940782783440106,-0.41466389011947796,0.3083125421015786,1.13706,-0.974773,-0.015344
343.86,-0.0004639999999999,-0.0018819999999999,-0.097804,-4.000000000000001e-05,9.999999999999904e-07,0.000156,-0.0001949999999999,-0.0019869999999999,-0.09781,-4.500000000000001e-05,-1.800000000000001e-05,0.00016,0.3899219180126179,-0.33131371968086204,-0.3890044339187065,0.33223120377477344,0.3730102788269301,-0.35064491028605876,-0.4087130410855053,0.3149421480274836,1.162681,-0.946939,-0.012234
